Type,Price,Initial Amount,Monthly Installment,Remaining Installments,Location,Bath(s),Area,Purpose,Bedroom(s),Added,Features,Room,Communication,Community
House,PKR5.8 Crore,,,,"G-13, Islamabad, Islamabad Capital",6,8 Marla,For Sale,5,1 day ago,"['Main Features, Built in year: 2022, Parking Spaces: 3, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal']","['Rooms, Bedrooms: 5, Bathrooms: 7, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room']","['Plot Features, Possesion, Balloted, Sewerage, Electricity, Water Supply, Sui Gas, Boundary Wall']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom']"
Flat,PKR2.2 Crore,,,,"G-15, Islamabad, Islamabad Capital",3,8.5 Marla,For Sale,3,1 day ago,"['Main Features, Built in year: 2023, Parking Spaces: 2, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished']","['Rooms, Bedrooms: 4, Bathrooms: 5, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Plot Features, Possesion, File, Balloted, Sewerage, Electricity, Water Supply, Sui Gas, Boundary Wall']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']"
Farm House,PKR40 Crore,,,,"Gulberg, Islamabad, Islamabad Capital",6,5 Kanal,For Sale,6,1 day ago,"['Main Features, Built in year: 2023, Parking Spaces: 12, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 3']","['Rooms, Bedrooms: 6, Bathrooms: 7, Servant Quarters: 3, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 3, Steam Room, Lounge or Sitting Room, Laundry Room']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre']"
House,PKR1.9 Crore,,,,"Chak Shahzad, Islamabad, Islamabad Capital",4,7 Marla,For Sale,4,1 day ago,"['Main Features, Built in year: 2021, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features']","['Rooms, Bedrooms, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Plot Features, File, Balloted, Sewerage, Electricity, Water Supply, Sui Gas, Boundary Wall']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']"
House,PKR10.8 Crore,,,,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,6,4 hours ago,"['Main Features, Built in year: 2023, Parking Spaces: 4, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished']","['Rooms, Bedrooms: 6, Bathrooms: 6, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Plot Features, Possesion, Corner, Balloted, Sewerage, Water Supply']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']"
Flat,PKR1.15 Crore,,,,"DHA Defence, Islamabad, Islamabad Capital",2,4 Marla,For Sale,2,6 hours ago,"['Main Features, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Service Elevators in Building, Other Main Features']","['Rooms, Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room Gym, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre']"
Flat,PKR50 Lakh,,,,"FECHS, Islamabad, Islamabad Capital",2,3.1 Marla,For Sale,2,4 hours ago,"['Main Features, Built in year: 2022, Parking Spaces: 4, Double Glazed Windows, Flooring, Electricity Backup, Waste Disposal, Floor: 3, Floors, Floors in Building: 5, Other Main Features']","['Rooms, Bedrooms: 2, Bathrooms: 2, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Powder Room Gym, Store Rooms: 1, Lounge or Sitting Room, Laundry Room']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR10.4 Crore,,,,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,6,4 hours ago,"['Main Features, Built in year: 2023, Parking Spaces: 2, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Floors in Building: 4, Other Main Features, Furnished']","['Rooms, Bedrooms: 6, Bathrooms: 8, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Plot Features, Possesion, Corner, Park Facing, Disputed, File, Balloted, Sewerage, Electricity, Water Supply, Sui Gas, Boundary Wall']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, ATM Machines, Other Business and Communication Facilities']"
House,PKR11.95 Crore,,,,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,6,4 hours ago,"['Main Features, Parking Spaces: 3, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 3, Floors: 2, Floors in Building: 3, Elevators: 2, Other Main Features']","['Rooms, Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room']","['Plot Features, Possesion, Corner, Park Facing, File, Balloted, Sewerage, Electricity, Water Supply, Sui Gas, Boundary Wall']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']"
House,PKR4.25 Crore,,,,"D-17, Islamabad, Islamabad Capital",6,10 Marla,For Sale,6,5 hours ago,"['Main Features, Built in year: 2023, Parking Spaces: 3, Flooring']","['Rooms, Bedrooms: 4, Bathrooms: 7, Servant Quarters: 1, Drawing Room, Kitchens: 2, Lounge or Sitting Room']",[],[]
House,PKR2.6 Crore,,,,"D-17, Islamabad, Islamabad Capital",6,6 Marla,For Sale,5,5 hours ago,"['Main Features, Built in year: 2, Parking Spaces: 2, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor, Floors: 2, Floors in Building: 7, Elevators, Service Elevators in Building, Other Main Features, Furnished']","['Rooms, Bedrooms: 5, Bathrooms: 7, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Plot Features, Possesion, Corner, Park Facing, File, Balloted, Sewerage, Electricity, Water Supply, Sui Gas, Boundary Wall']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities']"
House,PKR3.75 Crore,,,,"Bahria Town, Islamabad, Islamabad Capital",6,8 Marla,For Sale,5,2 hours ago,"['Main Features, Built in year: 2023, Flooring, Electricity Backup']","['Rooms, Bedrooms: 5, Bathrooms: 7, Servant Quarters: 1, Kitchens: 2']","['Nearby Locations and Other Facilities, Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Nearby Public Transport Service']",[]
Flat,PKR1.1 Crore,,,,"Bahria Town, Islamabad, Islamabad Capital",2,4.2 Marla,For Sale,2,2 hours ago,"['Rooms, Bedrooms: 2, Bathrooms: 2']",[],[],[]
Flat,PKR1.47 Crore,,,,"Bahria Town, Islamabad, Islamabad Capital",3,5.5 Marla,For Sale,3,2 hours ago,"['Main Features, Built in year, Parking Spaces, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 4, Floors in Building: 6, Elevators, Service Elevators in Building, Other Main Features, Furnished']","['Rooms, Bedrooms, Bathrooms, Servant Quarters, Drawing Room, Dining Room, Kitchens, Study Room, Prayer Room, Powder Room Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
Flat,PKR1.04 Crore,,,,"Bahria Town, Islamabad, Islamabad Capital",1,2.9 Marla,For Sale,1,2 hours ago,"['Main Features, Built in year, Parking Spaces, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor, Floors in Building, Elevators, Service Elevators in Building, Other Main Features, Furnished']","['Rooms, Bedrooms, Bathrooms, Servant Quarters, Drawing Room, Dining Room, Kitchens, Study Room, Prayer Room, Powder Room Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Other Community Facilities']"
House,PKR2.63 Crore,,,,"Bahria Town, Islamabad, Islamabad Capital",4,5 Marla,For Sale,3,2 hours ago,"['Main Features, Built in year, Double Glazed Windows']","['Rooms, Bedrooms: 3, Bathrooms: 4, Servant Quarters, Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room Gym, Store Rooms, Lounge or Sitting Room, Laundry Room']","['Business and Communication, Broadband Internet Access']","['Community Features, Community Lawn or Garden, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre']"
Flat,PKR72 Lakh,PKR21.6 Lakh,PKR12.6 Lakh,4 Months,"Bahria Town, Islamabad, Islamabad Capital",1,2 Marla,For Sale,1,2 hours ago,"['Main Features, Built in year: 2023, Parking Spaces, Lobby in Building, Flooring, Electricity Backup, Floor, Floors in Building, Elevators: 1, Service Elevators in Building, Other Main Features']","['Rooms, Bedrooms: 1, Bathrooms: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 1, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
Flat,PKR90 Lakh,,,,"DHA Defence, Islamabad, Islamabad Capital",2,3.6 Marla,For Sale,2,3 hours ago,"['Main Features, Lobby in Building, Double Glazed Windows, Waste Disposal, Floor: 4']","['Rooms, Bedrooms: 2, Bathrooms: 2, Kitchens: 1, Lounge or Sitting Room']",[],[]
House,PKR3.8 Crore,,,,"G-13, Islamabad, Islamabad Capital",4,4 Marla,For Sale,4,3 hours ago,"['Main Features, Built in year: 2023, Parking Spaces: 1, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished']","['Rooms, Bedrooms: 4, Bathrooms: 5, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 5, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR2.55 Crore,,,,"Mumtaz City, Islamabad, Islamabad Capital",6,8 Marla,For Sale,8,1 week ago,"['Main Features, Built in year: 2023, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Floor, Floors: 2, Floors in Building: 7, Elevators, Other Main Features, Furnished']","['Rooms, Rooms: 1, Bedrooms: 7, Bathrooms: 7, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 1, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR3.9 Crore,,,,"Bahria Town, Islamabad, Islamabad Capital",6,8 Marla,For Sale,5,1 week ago,"['Main Features, Built in year: 2023, Parking Spaces: 4, Double Glazed Windows, Flooring, Electricity Backup, Floors: 2, Other Main Features']","['Rooms, Bedrooms: 5, Bathrooms: 7, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Powder Room Store Rooms: 1, Lounge or Sitting Room, Other Rooms']","['Healthcare Recreational, Lawn or Garden']",[]
Flat,PKR63 Lakh,,,,"B-17, Islamabad, Islamabad Capital",-,2 Marla,For Sale,-,1 week ago,"['Main Features, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Service Elevators in Building, Furnished']","['Rooms, Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room Gym, Steam Room, Lounge or Sitting Room, Laundry Room']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, ATM Machines, Other Business and Communication Facilities']","['Community Features, Mosque, Other Community Facilities']"
House,PKR45 Crore,,,,"F-8, Islamabad, Islamabad Capital",4,2 Kanal,For Sale,4,1 week ago,"['Main Features, Parking Spaces, Double Glazed Windows, Flooring, Electricity Backup, Waste Disposal, Floors, Other Main Features']","['Rooms, Bedrooms: 4, Bathrooms: 4, Servant Quarters, Drawing Room, Dining Room, Kitchens: 1, Study Room, Store Rooms: 1, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']","['Community Features, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR9.7 Crore,,,,"Bahria Town, Islamabad, Islamabad Capital",-,16 Marla,For Sale,9,1 week ago,"['Main Features, Built in year: 2023, Parking Spaces: 4, Double Glazed Windows, Flooring, Electricity Backup, Waste Disposal, Other Main Features']","['Rooms, Bedrooms: 9, Bathrooms: 10, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR1.85 Crore,,,,"E-11, Islamabad, Islamabad Capital",3,7.6 Marla,For Sale,3,1 day ago,"['Main Features, Built in year: 2021, Parking Spaces: 1, Flooring, Electricity Backup, Floors: 2, Other Main Features']","['Rooms, Bedrooms: 3, Bathrooms: 3, Servant Quarters: 1, Kitchens: 1']","['Nearby Locations and Other Facilities, Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms)Nearby Public Transport Service, Other Nearby Places']",[]
House,PKR5.8 Crore,,,,"G-13, Islamabad, Islamabad Capital",6,7 Marla,For Sale,5,1 day ago,"['Main Features, Built in year: 2023, Parking Spaces: 2, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal']","['Rooms, Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre']"
