Type,Price,Initial Amount,Monthly Installment,Remaining Installments,Location,Bath(s),Area,Purpose,Bedroom(s),Added,Features,Room,Communication,Community
Flat,PKR2.08 Crore,PKR20.81 Lakh,PKR3.12 Lakh,60 Months,"Gulberg, Islamabad, Islamabad Capital",1,2.5 Marla,For Sale,1,4 hours ago,"['Main Features, Built in year: 2018, Parking Spaces, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor, Elevators, Service Elevators in Building, Other Main Features, Furnished']","['Rooms, Bedrooms: 2, Bathrooms: 2, Drawing Room, Dining Room, Kitchens: 1, Prayer Room, Powder Room Gym, Store Rooms: 1, Lounge or Sitting Room, Laundry Room']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
Flat,PKR69.81 Lakh,,,,"Faisal Town - F-18, Islamabad, Islamabad Capital",1,2.4 Marla,For Sale,1,7 hours ago,"['Main Features, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Service Elevators in Building, Furnished']","['Rooms, Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room Gym, Steam Room, Lounge or Sitting Room, Laundry Room']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
Flat,PKR1.22 Crore,,,,"Faisal Town - F-18, Islamabad, Islamabad Capital",2,4.2 Marla,For Sale,2,7 hours ago,"['Main Features, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Service Elevators in Building, Furnished']","['Rooms, Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room Gym, Steam Room, Lounge or Sitting Room, Laundry Room']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR6.65 Crore,,,,"DHA Defence, Islamabad, Islamabad Capital",6,15 Marla,For Sale,5,21 hours ago,"['Main Features, Built in year: 2022, Parking Spaces: 2, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 1, Floors: 2, Floors in Building: 24, Elevators: 4, Service Elevators in Building, Other Main Features, Furnished']","['Rooms, Bedrooms: 3, Bathrooms: 4, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
Flat,PKR1.5 Crore,,,,"Bahria Town, Islamabad, Islamabad Capital",3,6.4 Marla,For Sale,2,21 hours ago,"['Main Features, Built in year: 2022, Parking Spaces: 2, Flooring, Electricity Backup, Floor: 1, Floors: 8']","['Rooms, Bedrooms: 2, Bathrooms: 3, Servant Quarters: 1, Drawing Room, Dining Room, Prayer Room, Gym, Lounge or Sitting Room']","['Plot Features, Possesion, Corner, Park Facing, File, Balloted, Sewerage, Electricity, Water Supply, Sui Gas, Boundary Wall']","['Community Features, Community Lawn or Garden, First Aid or Medical Centre, Kids Play Area, Mosque, Community Centre']"
House,PKR45 Crore,,,,"F-7, Islamabad, Islamabad Capital",6,1.3 Kanal,For Sale,6,18 minutes ago,"['Main Features, Built in year, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors, Other Main Features']","['Rooms, Bedrooms: 6, Bathrooms: 7, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR5.75 Crore,,,,"Bani Gala, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,8,2 hours ago,"['Main Features, Built in year: 2022, Parking Spaces: 3, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup']","['Rooms, Bedrooms: 8, Bathrooms: 12, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 3, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
Flat,PKR51 Lakh,,,,"Bahria Town, Islamabad, Islamabad Capital",1,1.8 Marla,For Sale,1,2 hours ago,"['Main Features, Built in year: 2023, Parking Spaces: 3, Flooring, Electricity Backup, Floor: 2, Floors in Building: 4, Elevators: 1']","['Rooms, Bedrooms: 1, Bathrooms: 1, Kitchens: 1']","['Nearby Locations and Other Facilities, Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Nearby Public Transport Service']",['Other Facilities\r\nPet Policy']
House,PKR9.5 Crore,,,,"Bahria Town, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,5,2 hours ago,"['Main Features, Built in year: 2023, Parking Spaces: 3, Flooring, Electricity Backup']","['Rooms, Bedrooms: 5']",[],[]
Flat,PKR55 Lakh,,,,"Bahria Town, Islamabad, Islamabad Capital",1,1.8 Marla,For Sale,-,3 hours ago,"['Main Features, Built in year: 2823, Parking Spaces: 1, Lobby in Building, Flooring, Electricity Backup, Floor: 2, Floors in Building: 3']","['Rooms, Bedrooms: 1, Bathrooms: 1, Kitchens: 1, Laundry Room']","['Plot Features, Possesion, Corner, Park Facing, Disputed, File, Balloted, Sewerage, Electricity, Water Supply, Sui Gas, Boundary Wall']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready']"
Flat,PKR10.23 Crore,PKR1.02 Crore,PKR15.24 Lakh,60 Months,"F-11, Islamabad, Islamabad Capital",4,12.7 Marla,For Sale,4,23 minutes ago,"['Main Features, Built in year: 2023, Parking Spaces, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor, Floors: 2, Elevators, Service Elevators in Building, Other Main Features, Furnished']","['Rooms, Bedrooms: 4, Bathrooms: 4, Servant Quarters, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Store Rooms, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR2.75 Crore,,,,"Top City 1, Islamabad, Islamabad Capital",6,10 Marla,For Sale,5,37 minutes ago,"['Main Features, Built in year: 1, Parking Spaces: 3, Flooring, Electricity Backup, Floors, Other Main Features']","['Rooms, Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 3, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Healthcare Recreational, Lawn or Garden']","['Nearby Locations and Other Facilities, Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms)Nearby Public Transport Service, Other Nearby Places']"
House,PKR3.6 Crore,,,,"G-15, Islamabad, Islamabad Capital",4,8 Marla,For Sale,4,12 minutes ago,"['Main Features, Built in year: 2023, Parking Spaces: 6, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 1, Floors in Building: 6, Elevators: 1, Service Elevators in Building, Other Main Features, Furnished']","['Rooms, Servant Quarters: 0, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre']"
House,PKR5 Crore,,,,"G-9, Islamabad, Islamabad Capital",4,6.7 Marla,For Sale,4,49 minutes ago,"['Main Features, Double Glazed Windows, Waste Disposal']","['Rooms, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR3.65 Crore,,,,"Bahria Town, Islamabad, Islamabad Capital",6,8 Marla,For Sale,5,1 hour ago,"['Main Features, Built in year: 2023, Parking Spaces: 2, Flooring, Electricity Backup']","['Rooms, Bedrooms: 5, Bathrooms: 6, Servant Quarters: 1, Kitchens: 2']","['Nearby Locations and Other Facilities, Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Nearby Public Transport Service']",[]
House,PKR3.15 Crore,,,,"DHA Defence, Islamabad, Islamabad Capital",-,5 Marla,For Sale,-,1 hour ago,"['Rooms, Drawing Room, Dining Room, Laundry Room']","['Plot Features, Possesion, Park Facing, File, Balloted, Sewerage, Electricity, Water Supply, Sui Gas, Boundary Wall']","['Community Features, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre']","['Nearby Locations and Other Facilities, Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants']"
House,PKR3.3 Crore,,,,"Soan Garden, Islamabad, Islamabad Capital",6,10 Marla,For Sale,6,2 hours ago,"['Main Features, Built in year: 2023, Parking Spaces: 2, Lobby in Building, Central Air Conditioning, Flooring, Electricity Backup, Waste Disposal, Floor: 8, Floors in Building: 9, Elevators: 4']","['Rooms, Bedrooms: 6, Bathrooms: 7, Servant Quarters: 1, Kitchens: 2, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Conference Room in Building']","['Nearby Locations and Other Facilities, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms)Nearby Public Transport Service, Other Nearby Places']"
Flat,PKR2.4 Crore,,,,"G-15, Islamabad, Islamabad Capital",3,8.5 Marla,For Sale,3,6 minutes ago,"['Main Features, Built in year: 2023, Parking Spaces: 1, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished']","['Rooms, Bedrooms: 3, Bathrooms: 4, Servant Quarters, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
Flat,PKR1.75 Crore,,,,"G-15, Islamabad, Islamabad Capital",2,5.5 Marla,For Sale,2,7 minutes ago,"['Main Features, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features, Furnished']","['Rooms, Bedrooms: 6, Bathrooms: 7, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR2.8 Crore,,,,"Mumtaz City, Islamabad, Islamabad Capital",6,6 Marla,For Sale,6,9 minutes ago,"['Main Features, Built in year: 2023, Parking Spaces: 2, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Other Main Features']","['Rooms, Bedrooms: 6, Bathrooms: 6, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Plot Features, Possesion, Balloted, Sewerage, Electricity, Water Supply, Sui Gas, Boundary Wall']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']"
Flat,PKR1.2 Crore,,,,"G-15, Islamabad, Islamabad Capital",2,7.3 Marla,For Sale,2,11 minutes ago,"['Main Features, Built in year: 2021, Parking Spaces: 1, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor: 2, Elevators: 2, Service Elevators in Building']","['Rooms, Bedrooms: 3, Bathrooms: 4, Drawing Room, Kitchens: 2, Lounge or Sitting Room, Laundry Room']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre']"
House,PKR5.65 Crore,,,,"G-15, Islamabad, Islamabad Capital",6,12 Marla,For Sale,7,13 minutes ago,"['Main Features, Built in year: 2023, Parking Spaces: 3, Flooring, Electricity Backup']","['Rooms, Bedrooms: 7, Bathrooms: 7, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Store Rooms: 1']","['Plot Features, Possesion, File, Balloted, Sewerage, Electricity, Water Supply, Sui Gas']","['Nearby Locations and Other Facilities, Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms)Nearby Public Transport Service, Other Nearby Places']"
House,PKR4.25 Crore,,,,"G-15, Islamabad, Islamabad Capital",6,12 Marla,For Sale,8,13 minutes ago,"['Main Features, Flooring, Electricity Backup']","['Rooms, Bedrooms: 9, Bathrooms: 9, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 3, Study Room, Store Rooms: 2, Lounge or Sitting Room, Laundry Room']","['Nearby Locations and Other Facilities, Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms)Nearby Public Transport Service, Other Nearby Places']",['Other Facilities\r\nSecurity Staff']
Flat,PKR8.5 Crore,,,,"F-8, Islamabad, Islamabad Capital",2,8.9 Marla,For Sale,2,16 minutes ago,"['Main Features, Built in year: 00, Parking Spaces: 00, Lobby in Building, Double Glazed Windows, Flooring, Electricity Backup, Other Main Features']","['Rooms, Bedrooms: 2, Bathrooms: 2, Servant Quarters: 00, Drawing Room, Dining Room, Kitchens: 00, Store Rooms: 00, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
Flat,PKR8.5 Crore,,,,"F-8, Islamabad, Islamabad Capital",2,8.9 Marla,For Sale,2,16 minutes ago,"['Main Features, Built in year: 00, Parking Spaces: 00, Lobby in Building, Double Glazed Windows, Flooring, Electricity Backup, Other Main Features']","['Rooms, Bedrooms: 2, Bathrooms: 2, Servant Quarters: 00, Drawing Room, Dining Room, Kitchens: 00, Store Rooms: 00, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR42 Crore,,,,"F-7, Islamabad, Islamabad Capital",6,1.3 Kanal,For Sale,9,21 hours ago,"['Main Features, Parking Spaces: 3, Double Glazed Windows, Flooring, Waste Disposal, Floors: 2']","['Rooms, Servant Quarters: 1, Drawing Room, Dining Room, Study Room, Prayer Room, Powder Room Store Rooms: 1, Steam Room, Lounge or Sitting Room']","['Other Facilities\r\nMaintenance Staff, Security Staff, Facilities for Disabled']",[]
House,PKR2.65 Crore,,,,"Bahria Town, Islamabad, Islamabad Capital",4,5 Marla,For Sale,3,21 hours ago,"['Main Features, Built in year: 2023, Parking Spaces: 2, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Other Main Features']","['Rooms, Bedrooms: 3, Bathrooms: 4, Servant Quarters, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Plot Features, Possesion, Corner, Park Facing, Sewerage, Electricity, Water Supply, Sui Gas, Boundary Wall']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']"
House,PKR10.75 Crore,,,,"DHA Defence, Islamabad, Islamabad Capital",6,1 Kanal,For Sale,6,22 hours ago,"['Main Features, Built in year: 2023, Parking Spaces: 2, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors: 2, Service Elevators in Building, Other Main Features, Furnished']","['Rooms, Bedrooms: 6, Bathrooms: 6, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
Flat,PKR6.39 Crore,PKR1.6 Crore,PKR15.99 Lakh,30 Months,"Diplomatic Enclave, Islamabad, Islamabad Capital",2,5.7 Marla,For Sale,2,1 day ago,"['Main Features, Built in year: 2027, Parking Spaces, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Flooring, Electricity Backup, Waste Disposal, Floors in Building, Elevators, Service Elevators in Building, Other Main Features']","['Rooms, Bedrooms: 2, Bathrooms: 2, Drawing Room, Dining Room, Kitchens, Study Room, Powder Room Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
Flat,PKR1.63 Crore,,,,"Bahria Town, Islamabad, Islamabad Capital",2,5.6 Marla,For Sale,2,1 day ago,"['Main Features, Built in year: 2023, Parking Spaces: 2, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors in Building: 8, Elevators, Service Elevators in Building, Other Main Features, Furnished']","['Rooms, Bedrooms: 2, Bathrooms: 2, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room Gym, Store Rooms, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, ATM Machines, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR42 Crore,,,,"F-7, Islamabad, Islamabad Capital",6,1.3 Kanal,For Sale,6,3 hours ago,"['Main Features, Parking Spaces: 6, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Other Main Features']","['Rooms, Bedrooms: 6, Bathrooms: 7, Servant Quarters: 2, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR2.87 Crore,,,,"B-17, Islamabad, Islamabad Capital",6,12 Marla,For Sale,5,3 hours ago,"['Main Features, Built in year: 2023, Parking Spaces: 4, Lobby in Building, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floor, Floors in Building, Elevators, Service Elevators in Building, Other Main Features']","['Rooms, Bedrooms: 5, Bathrooms: 7, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 2, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 2, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Plot Features, Possesion, Corner']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Intercom, ATM Machines']"
House,PKR4.3 Crore,,,,"Bahria Town, Islamabad, Islamabad Capital",6,10 Marla,For Sale,5,3 hours ago,"['Main Features, Built in year: 2021, Parking Spaces: 2, Flooring, Electricity Backup']","['Rooms, Bedrooms: 5, Bathrooms: 7, Servant Quarters: 1, Kitchens: 2']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR9.5 Crore,,,,"G-10, Islamabad, Islamabad Capital",5,14.2 Marla,For Sale,5,4 hours ago,"['Main Features, Parking Spaces: 1, Waste Disposal, Other Main Features']","['Rooms, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR16 Crore,,,,"G-10, Islamabad, Islamabad Capital",6,18.8 Marla,For Sale,6,4 hours ago,"['Main Features, Parking Spaces: 1, Waste Disposal, Elevators: 1, Other Main Features']","['Rooms, Bedrooms: 3, Bathrooms: 3, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room, Other Rooms']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Business Center or Media Room in Building, Conference Room in Building, Intercom, Other Business and Communication Facilities']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre, Other Community Facilities']"
House,PKR3 Crore,,,,"Top City 1, Islamabad, Islamabad Capital",6,10 Marla,For Sale,6,40 minutes ago,"['Main Features, Built in year: 2023, Parking Spaces, Flooring, Electricity Backup, Floors, Other Main Features']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre']",[],[]
Flat,PKR59.68 Lakh,PKR17.9 Lakh,PKR1.04 Lakh,10 Months,"Top City 1, Islamabad, Islamabad Capital",1,1.7 Marla,For Sale,-,42 minutes ago,"['Main Features, Built in year: 2023, Parking Spaces, Public Parking, Underground Parking, Lobby in Building, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors in Building: 7, Elevator or Lift, Elevators, Service Elevators in Building']",[],[],[]
House,PKR2.1 Crore,,,,"B-17, Islamabad, Islamabad Capital",4,5.6 Marla,For Sale,3,2 hours ago,"['Plot Features, Possesion, Balloted, Sewerage, Electricity, Water Supply, Boundary Wall']","['Nearby Locations and Other Facilities, Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms)Nearby Public Transport Service']",[],[]
House,PKR1.25 Crore,,,,"Bani Gala, Islamabad, Islamabad Capital",3,5 Marla,For Sale,2,2 hours ago,"['Main Features, Built in year: 2023, Parking Spaces: 1, Double Glazed Windows, Flooring, Waste Disposal']","['Rooms, Bedrooms: 2, Bathrooms: 3, Drawing Room, Dining Room, Kitchens: 1']","['Community Features, Mosque']","['Nearby Locations and Other Facilities, Nearby Schools, Nearby Hospitals, Nearby Shopping Malls, Nearby Restaurants, Distance From Airport (kms)']"
House,PKR3.1 Crore,,,,"G-13, Islamabad, Islamabad Capital",3,4 Marla,For Sale,3,2 hours ago,"['Main Features, Built in year: 2023, Parking Spaces, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Floors, Other Main Features, Furnished']","['Rooms, Bedrooms: 3, Bathrooms: 4, Drawing Room, Dining Room, Kitchens: 1, Study Room, Lounge or Sitting Room, Laundry Room']",[],[]
House,PKR10.65 Crore,,,,"G-13, Islamabad, Islamabad Capital",6,12 Marla,For Sale,7,2 hours ago,"['Main Features, Built in year: 2021, Parking Spaces: 3, Double Glazed Windows, Central Air Conditioning, Central Heating, Flooring, Electricity Backup, Waste Disposal, Other Main Features, Furnished']","['Rooms, Bedrooms: 5, Bathrooms: 5, Servant Quarters: 1, Drawing Room, Dining Room, Kitchens: 1, Study Room, Prayer Room, Powder Room Gym, Store Rooms: 1, Steam Room, Lounge or Sitting Room, Laundry Room']","['Business and Communication, Broadband Internet Access, Satellite or Cable TV Ready, Intercom']","['Community Features, Community Lawn or Garden, Community Swimming Pool, Community Gym, First Aid or Medical Centre, Day Care Centre, Kids Play Area, Barbeque Area, Mosque, Community Centre']"
